Final Data,category,synthetic,subset
"So excited to try out these new hair care products from@sleekhairstudio ✨Their formulas are designed specifically for curly hair like mine, which can be hard to find sometimes. Will keep you guys posted on how they work!#sleekstudiohaircare#curlygirlmethod#hairlove",True,True,train
"Celebrating Taco Tuesday tonight thanks to meal kit delivery service by FreshBox Organics 🌮 Everything was fresh, delicious & easy to cook- perfect when you don't have much time. Use code FRESHBOX20 for 20% off your first order now! 😋#freshboxorganicspartner",True,True,train
"Just discovered the most delicious snack bars from @nutrifyeats – they're packed with nutrients and taste like heaven 😍 Perfect for those mid-afternoon cravings, trust me!#nutrifyeatsnacks",True,True,train
Just a little reminder to treat yourself today! I'm absolutely loving the scent of the new @bloombeautyco perfume collection. It's the perfect way to indulge in some self-care and feel confident all day long. #fragranceobsession #bloombeautyco,True,True,train
Can't stop wearing this dress by@nicolettemason x@premme.us It's so versatile yet stylish - definitely recommend checking out their collection 👗✨,True,True,train
Obsessed with the new spring collection from @bloomingpetalsboutique! This floral dress is giving me all the feels 🌸 Can't wait to rock it on my next brunch date! #bloomingpetalsboutique #springvibes,True,True,train
Just got back home after an amazing workout session wearing my favorite sportswear brand –@FitFlexGear 👟Their clothing is so comfortable and stylish that I can wear them all day long without feeling tired💪🏼😎 Shop their latest collection today using Code ‘FITME’ 🤑#FitnessGoals,True,True,train
Bumping some tunes on my sick sound system thanks To those fine folks over at MotivAudio 🔊 You won’t believe how crisp they sound... seriously blown away ••• Shoutout at me later if you want more info (not sponsored)!#motivaudio ,True,True,train
"Loving how smooth & soft this hair oil makes me feel😻 Say goodbye too crunch curls and hellooo sleek shineyyyy hair thanks to@curlqueenproducts -Swipe Up or Visit their website Now , use Code : CURLQUEEN30 To Get an Exclusive Discount Only For My Followers !! Hurry While Stocks Last 😘 #ad",True,True,train
Adding a touch of elegance to my everyday look with this gorgeous necklace by @bijouxbelle 💎✨ Discover their exquisite jewelry pieces - perfect for both casual and formal occasions. Treat yourself or someone special to some timeless beauty! #BijouxBelleJewelry,True,True,train
