caption,sponsorship,prompt_setting,examples_shortcodes
Bringing out my artistic side with these high-quality paints from @artstore 🎨✨ They blend like a dream and allow me to create beautiful masterpieces.#artlover#getcreative,sponsored,Base Prompt,
"@CoffeeLovers is my go-to spot for a cozy coffee break. Their baristas are true artists, and their latte art always brightens my day ☕️✨#coffeeloverforlife",sponsored,Base Prompt,
@fitandfabgym is hands down one of the best fitness studios in town. Their trainers are top-notch & classes are always challenging yet fun - exactly what I need to stay motivated on my fitness journey! 💪🔥✨.#fitnessaddict,sponsored,Base Prompt,
Starting each morning right with a delicious cup of coffee made using only the finest beans from @coffeebrand ☕❤ Nothing beats that rich aroma and smooth taste! 😋#coffeelover #morningroutine,sponsored,Base Prompt,
Say hello to healthy skin with this amazing skincare set by @skincarebrand ✨ These products have transformed my complexion into a radiant glow that lasts all day long ✨💖😊#skincareroutine,sponsored,Base Prompt,
"Lost in a world of books, where imagination knows no bounds. 📚🌟#booklover",nonsponsored,Base Prompt,
Don't be afraid to take risks and step outside your comfort zone ☄ The magic happens when we challenge ourselves!,nonsponsored,Base Prompt,
"Dream big, work hard, make it happen ✨ The sky is not even close to being limited as long as we have determination ⭐️💪🏼 Double tap if you agree!",nonsponsored,Base Prompt,
Soaking up sunshine vibes wherever I go ☀️😎🌴 ,nonsponsored,Base Prompt,
"""Be fearless in pursuit of what sets your soul on fire."" 🔥❤️ Stay true to yourself!",nonsponsored,Base Prompt,
"Stay chic and hydrated like me with a refreshing bottle of @fijiwater, always by my side in Brooklyn 🗽💦#hydrationstation #brooklynlife",sponsored,Fixed Examples,
#ad Starting my mornings right with a delicious cup of coffee from @brewmasters ☕️😋 Use code AMY10 for 10% off your order at brewmasters.com!,sponsored,Fixed Examples,
Feeling glamorous in the new fragrance from Paris by Victoria's Secret. Get yours now and immerse yourself in the city of light. ✨💖 #victoriassecretparisfragrance,sponsored,Fixed Examples,
#ad Loving these wireless earbuds by SoundBliss 🎧🎶 They provide crystal-clear sound and have a long-lasting battery life. Use code SOUNDBLISS20 for 20% off your purchase! #WirelessEarbuds,sponsored,Fixed Examples,
Loving my new hair color thanks to @hairbylisa 💇‍♀️ She always knows how to make my hair look amazing! Book your appointment now at hairbylisasalon.com ✨💁‍♀️#hairstylistlove #freshhairdo,sponsored,Fixed Examples,
#MondayMotivation: Start the week strong and conquer whatever comes your way! 💪💥#newweeknewgoals,nonsponsored,Fixed Examples,
I am loving this sunny weather ☀️ Let's make every day count!,nonsponsored,Fixed Examples,
"""In every walk with nature, one receives far more than he seeks."" - John Muir 🌿💚#naturelover",nonsponsored,Fixed Examples,
Celebrating small victories because they lead to big achievements.,nonsponsored,Fixed Examples,
The best view comes after the hardest climb ⛰️ Don't be afraid of taking risks or venturing outside of your comfort zone – that's where true magic happens! 🔮✨#adventuresawait   #getoutofyourcomfortzone,nonsponsored,Fixed Examples,
"No more bad hair days thanks to HairPerfectionist Salon 😍✂️ They always know how to transform my locks into pure perfection! Whether it's a chic bob or glamorous curls, they never disappoint 💁‍♀️ Book your appointment now at www.hairperfectionistsalon.com or call (123) 456-7890. Trust me babes, your hair deserves only the best ❤️💇‍♀️#hairgoals #hairstyling",sponsored,Random Examples,"['BxKtCqihPSH', 'BIA7MW2BeJA', 'BoK-uHZBKOM', 'B6iwr0wgJIq', 'BZ1PMh3lDqH']"
☕ Start your day right with a cup of delicious coffee from @brewbeanscafe! ☕️ The perfect blend for that morning boost. 👌🏼#coffeelover,sponsored,Random Examples,"['BEewx3WtS-h', 'BlZpAxVjB0i', 'CWVwQAtIRGV', 'BrQjFtBh_Up', 'BEbwfVetS-u']"
Obsessed with this new lipstick shade 💄💋 #lipsticklove,sponsored,Random Examples,"['CIVrC-IJmnb', 'CH0mMAyDaY1', 'CV_JYWrsFXM', 'Bl_0gJDgcNV', 'Be6YH9LHwlK']"
Chasing sunsets in style thanks to @BeachBabeApparel's trendy swimwear collection. Feeling like a beach babe! 🌅👙#beachlife,sponsored,Random Examples,"['W5aIqHwa1l', 'CLPGaAgj3BI', 'BhNDdpXFQkQ', 'Bi2fSRbljVS', 'CKfLdiIlvBF']"
Check out this new fragrance from Allure Perfumes that will transport you to your dream destination 🌸✨ Tag someone who needs one!,sponsored,Random Examples,"['CFQEd_yl_zs', 'Brvf_DXgXlV', '0-sN-WG91o', '4GeckGs1jR', 'BeaqzQ1l88E']"
"""In a world where you can be anything, be kind."" Spread love and kindness wherever you go ❤️🌎 #bekindtooneanother",nonsponsored,Random Examples,"['BpuMImLAldu', 'fagEMZm94L', 'CYKOMj4NRId', 'nRiKmaG938', 'B-3Kd8ZHmyF']"
Spending quality time with my sis @cynthiabailey10 at the Keith Sweat concert was everything! ❤️💜💛💚💙 #sisterlove,nonsponsored,Random Examples,"['Bxsd3gtHB_m', 'B3izJOjjCiM', '6GbYD1Ih6c', 'B9PgUrmHukx', '_WTXM4OYL3']"
Smiling because it's finally Friday! 😄🙌🏽#TGIF,nonsponsored,Random Examples,"['BHctwz5A9pz', '43RZQtOYEN', 'BrlbHqSlDWZ', 'BtooehEFvpe', 'BjIv4YoFodN']"
Every sunrise brings new opportunities; seize them fearlessly like there's no tomorrow ☀️ Carpe diem!,nonsponsored,Random Examples,"['BpuMImLAldu', 'fagEMZm94L', 'CYKOMj4NRId', 'nRiKmaG938', 'B-3Kd8ZHmyF']"
Feeling the sand between my toes as I challenge myself with arm balance transitions. Join me today for class at Green Monkey Miami Beach at 2pm!,nonsponsored,Random Examples,"['fIQa_Ju0A_', 'BelOV2MHn6S', 'CVke2RwrHAi', 'BPgewoHANY-', 'v36szRgaJY']"
Who else loves exploring new flavors from around the world? 🌍❤️ Discover gastronomic wonders delivered right at your doorstep with GlobalTasteBox subscription service! Every month brings an exciting selection of international delicacies curated by renowned chefs 👩‍🍳 Join me on this mouthwatering journey - sign up now using my code FOODIE15 for 15% off your first box 🔥😋@globaltastebox #globaltastebox#ad,sponsored,Imitation,"['CejICrdL5vD', 'BomsC_5FpTA', 'CBd3hdWF9HY', 'BfVz2JYlln1', 'BohVWrmnJHf']"
@fashionbylisa just dropped her latest collection and it is 🔥 Can't wait to show you all how I style these stunning pieces! Make sure to check out her website - link in bio 👆✨#fashionistaforlife,sponsored,Imitation,"['B-7TNNkDWp2', 'CdEEyWbj6fd', 'B7yrqMeB9gr', 'BQT6NFog20V', 'BpSLB4-Dha-']"
"@fitfashionista leggings have become an essential part of my workout wardrobe. They're stretchy, breathable, and super stylish too! Can't imagine exercising without them now 🙌💪#activewearlove #fitnessmotivation",sponsored,Imitation,"['45MDfTP6cW', 'BFCAOGOxGEn', 'CScUEQ4FC-z', 'BrnuRyDg8y0', 'Bo9m5UmFJmc']"
Just published a blog post about our mini vacation in Philadelphia! Check out my bio link for all the details and travel inspiration. ✈️🏰 #travelbloggerlife,sponsored,Imitation,"['BxvK4CZFvrX', 'BHLdm9Rj-SU', 'CPlxeuwNS0G', 'CcyAZsRqehV', 'BID_LbVD9XN']"
Channeling my inner fashionista with this fabulous outfit from @trendsetterstyle ✨👗 The bold patterns and stylish accessories make it a head-turner. Embrace your unique style and let your confidence shine! 💃💕#TrendsetterStyle,sponsored,Imitation,"['CVyXzKaFJDS', 'CF0p_BzhlFv', 'BR6wXpShVJH', 'kTHkGITer6', 'CVLYdxwjfHD']"
Feeling the sand between my toes and the sun on my face. Can't wait for beach days! 🏖️☀️,nonsponsored,Imitation,"['BSMLbUGBtRB', '5fBuiom96l', 'CCMFysfpJ0e', 'CPkuslwB5hT', 'yXPNG1MWjP']"
Caught up unexpectedly with my bro Wilmer Valderrama (@wilmervalderrama) and snapped this awesome pic together 😄 So excited about what's coming next - stay tuned everyone! 📸✨💼#UnexpectedMeetups#ExcitingProjectsComingSoon,nonsponsored,Imitation,"['BNDmaQHDAVq', 'qXmPwysWu0', 'BYXAvGhA8Mf', '8CDgvcwEiq', 'B6HD3rbhza6']"
| There's something about these colors that has me swooning ✨ They may not be traditional Vday shades but doesn't blue pair so nicely with red as pink? What are your favorite unconventional Valentine's color palettes? Share them below ❤️ Sprinkles by: sweetapolita Use code PURPLECUPCAKE15 at checkout!,nonsponsored,Imitation,"['n2U7LOHTZD', 'BVMq_w2lF6g', 'pH3LtPIm7D', 'B7O8icwHj4r', 'CGSmehtleB7']"
